Id,played_songs

1,"Lose Yourself (Eminem),Bad Romance (Lady Gaga)"
2,"Dont Stop Me Now (Queen),We Will Rock You (Queen),Another One Bites the Dust (Queen),Under Pressure (Queen)"
3,"Hey Soul Sister (Train),Youre the One That I Want (John Travolta),Summer Nights (John Travolta),Greased Lightnin (John Travolta)"
4,"Dreams (Fleetwood Mac),The Chain (Fleetwood Mac),Landslide (Fleetwood Mac),Rhiannon (Fleetwood Mac),Little Lies (Fleetwood Mac)"
5,"Dont Stop Believin (Glee Cast),Somebody to Love (Glee Cast),Defying Gravity (Glee Cast),Sweet Caroline (Glee Cast),Teenage Dream (Glee Cast),Forget You (Glee Cast),Loser Like Me (Glee Cast),Born This Way (Glee Cast),We Are Young (Glee Cast),Dont Stop the Music (Glee Cast)"
6,"I Will Always Love You (Whitney Houston),My Heart Will Go On (Celine Dion),I Just Called to Say I Love You (Stevie Wonder),You Are Not Alone (Michael Jackson),Youre Beautiful (James Blunt),All of Me (John Legend),Hello (Adele)"
7,"Livin la Vida Loca (Ricky Martin),Shape of You (Ed Sheeran),Despacito (Luis Fonsi),Uptown Funk (Mark Ronson),Call Me Maybe (Carly Rae Jepsen),Single Ladies (Beyoncé),Wannabe (Spice Girls),Chandelier (Sia)"
8,"Smells Like Teen Spirit (Nirvana),Wonderwall (Oasis),Thriller (Michael Jackson),Bohemian Rhapsody (Queen),Imagine (John Lennon),Stairway to Heaven (Led Zeppelin),Like a Rolling Stone (Bob Dylan),Born to Run (Bruce Springsteen)"
9,"Halo (Beyoncé),Rolling in the Deep (Adele),Firework (Katy Perry),Someone Like You (Adele),Let It Go (Idina Menzel),Happy (Pharrell Williams),You Belong with Me (Taylor Swift),Cant Hold Us (Macklemore & Ryan Lewis)"
10,"Cant Help Falling in Love (Elvis Presley),Love Me Tender (Elvis Presley),Jailhouse Rock (Elvis Presley),Hound Dog (Elvis Presley),Suspicious Minds (Elvis Presley),Burning Love (Elvis Presley)"
11,"Bad Guy (Billie Eilish),Blinding Lights (The Weeknd),Drivers License (Olivia Rodrigo),Watermelon Sugar (Harry Styles),Dynamite (BTS),Levitating (Dua Lipa),Blinding Lights (The Weeknd)"
12,"Hotel California (Eagles),Sweet Home Alabama (Lynyrd Skynyrd),Free Bird (Lynyrd Skynyrd),American Pie (Don McLean),Take It Easy (Eagles),More Than a Feeling (Boston)"
13,"Eye of the Tiger (Survivor),Im a Believer (Smash Mouth),Hakuna Matata (The Lion King),Youve Got a Friend in Me (Toy Story),Let It Go (Frozen),How Far Ill Go (Moana),Youre Welcome (Moana)"
